Building,Abbreviation,RoomType,BuildingType,Gender,2025-02-18 09:00:00,2025-02-18 10:00:00,2025-02-18 11:00:00,2025-02-18 12:00:00,2025-02-18 13:00:00,2025-02-18 14:00:00,2025-02-18 15:00:00,2025-02-18 16:00:00,2025-02-19 10:00:00,2025-02-19 11:00:00
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,164,157,146,90,5,0,0,0,0,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,12,2,2,2,0,0,0,0,0,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,100,100,87,71,53,28,6,0,0,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Female,12,0,0,0,0,0,0,0,0,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Gender Inclusive,3,3,1,1,1,1,1,0,0,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,6,0,0,0,0,0,0,0,0,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,8,2,1,1,0,0,0,0,0,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,4,4,0,0,0,0,0,0,0,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,12,5,2,2,2,1,1,0,0,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,6,6,1,1,1,1,0,0,0,0
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,396,384,364,336,205,47,26,9,0,0
Gayley Heights,GH,2 Bd/6 Person,Apartment,Gender Inclusive,30,20,4,2,1,1,1,0,0,0
Gayley Heights,GH,2 Bd/6 Person,Apartment,Male,240,230,178,149,133,96,35,18,4,0
Gayley Heights,GH,2 Bd/7 Person-Quad,Apartment,Female,44,40,44,44,40,40,9,4,2,3
Gayley Heights,GH,2 Bd/7 Person-Quad,Apartment,Gender Inclusive,4,4,0,0,0,0,0,0,0,0
Gayley Heights,GH,2 Bd/7 Person-Quad,Apartment,Male,28,28,28,28,28,28,24,22,13,7
Gayley Heights,GH,2 Bd/7 Person-Triple,Apartment,Female,33,33,33,33,33,28,2,4,0,0
Gayley Heights,GH,2 Bd/7 Person-Triple,Apartment,Gender Inclusive,3,3,0,0,0,0,0,0,0,0
Gayley Heights,GH,2 Bd/7 Person-Triple,Apartment,Male,21,21,21,21,21,21,21,18,1,0
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Female,2,0,0,0,0,0,0,0,0,0
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Male,2,2,2,2,0,0,0,0,0,0
Gayley Heights,GH,3 Bd/8 Person-Triple,Apartment,Female,6,0,0,0,0,0,0,0,0,0
Gayley Heights,GH,3 Bd/8 Person-Triple,Apartment,Male,6,6,6,6,6,6,6,6,1,0
Gayley Heights,GH,4 Bd/10 Person-Double,Apartment,Female,70,70,70,70,66,50,26,10,0,0
Gayley Heights,GH,4 Bd/10 Person-Double,Apartment,Gender Inclusive,4,4,2,0,0,0,0,0,0,0
Gayley Heights,GH,4 Bd/10 Person-Double,Apartment,Male,44,40,40,40,40,38,33,24,0,0
Gayley Heights,GH,4 Bd/10 Person-Triple,Apartment,Female,108,108,108,108,102,102,90,76,43,7
Gayley Heights,GH,4 Bd/10 Person-Triple,Apartment,Gender Inclusive,6,6,0,0,0,0,0,0,0,0
Gayley Heights,GH,4 Bd/10 Person-Triple,Apartment,Male,66,60,60,60,60,60,54,47,27,21
Glenrock Apartments,GR,2 Bd/3 Person-Double,Apartment,Female,4,0,0,0,0,0,0,0,0,0
Glenrock Apartments,GR,2 Bd/3 Person-Double,Apartment,Male,2,2,0,0,0,0,0,0,0,0
Glenrock Apartments,GR,2 Bd/4 Person,Apartment,Female,84,74,32,5,4,1,0,1,0,0
Glenrock Apartments,GR,2 Bd/4 Person,Apartment,Gender Inclusive,8,0,0,0,0,0,0,0,0,0
Glenrock Apartments,GR,2 Bd/4 Person,Apartment,Male,52,45,45,34,7,5,5,3,0,0
Glenrock West Apartments,GW,1 Bd/3 Person,Apartment,Female,9,6,9,0,0,0,0,0,0,0
Glenrock West Apartments,GW,1 Bd/3 Person,Apartment,Gender Inclusive,3,1,1,0,0,0,0,0,0,0
Glenrock West Apartments,GW,1 Bd/3 Person,Apartment,Male,9,6,6,6,6,3,0,0,0,0
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Apartment,Female,6,6,4,1,0,0,0,0,0,0
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Apartment,Male,2,2,2,2,1,1,0,0,0,0
Glenrock West Apartments,GW,2 Bd/4 Person,Apartment,Female,48,37,13,0,1,0,0,0,0,0
Glenrock West Apartments,GW,2 Bd/4 Person,Apartment,Gender Inclusive,4,0,0,0,0,0,0,0,0,0
Glenrock West Apartments,GW,2 Bd/4 Person,Apartment,Male,24,2,1,3,0,0,0,0,0,0
Landfair Apartments,LF,2 Bd/4 Person,Apartment,Female,100,49,10,1,5,0,0,0,0,0
Landfair Apartments,LF,2 Bd/4 Person,Apartment,Gender Inclusive,8,3,0,0,0,0,0,0,0,0
Landfair Apartments,LF,2 Bd/4 Person,Apartment,Male,56,46,20,7,5,5,2,0,0,0
Landfair Vista Apartments,LV,2 Bd/4 Person,Apartment,Female,28,3,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd/4 Person,Apartment,Gender Inclusive,4,4,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd/4 Person,Apartment,Male,32,3,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Apartment,Female,4,4,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Apartment,Male,4,4,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Apartment,Female,6,6,6,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Apartment,Male,6,6,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Apartment,Female,4,4,2,1,1,1,0,0,0,0
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Apartment,Female,6,0,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Apartment,Male,6,0,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,3 Bd/6 Person,Apartment,Female,24,17,2,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,3 Bd/6 Person,Apartment,Male,12,0,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Double,Apartment,Gender Inclusive,2,2,2,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Triple,Apartment,Gender Inclusive,6,6,6,4,0,0,0,0,0,0
Laurel,LA,2 Bd/4 Person,Apartment,Female,40,36,36,25,2,1,0,0,0,0
Laurel,LA,2 Bd/4 Person,Apartment,Gender Inclusive,4,4,0,0,0,0,0,0,0,0
Laurel,LA,2 Bd/4 Person,Apartment,Male,12,4,4,3,3,2,1,1,0,0
Laurel,LA,4 Bd/10 Person-Double,Apartment,Female,172,172,172,172,172,166,165,158,121,91
Laurel,LA,4 Bd/10 Person-Double,Apartment,Gender Inclusive,12,12,12,10,0,0,0,0,0,0
Laurel,LA,4 Bd/10 Person-Double,Apartment,Male,100,100,100,100,100,98,98,96,94,86
Laurel,LA,4 Bd/10 Person-Triple,Apartment,Female,258,258,258,258,258,258,258,258,244,235
Laurel,LA,4 Bd/10 Person-Triple,Apartment,Gender Inclusive,18,18,18,12,0,0,0,0,0,0
Laurel,LA,4 Bd/10 Person-Triple,Apartment,Male,150,150,150,150,150,150,149,149,149,146
Levering Terrace Apartments,LT,1 Bd/3 Person,Apartment,Female,12,3,1,1,1,1,0,0,0,0
Levering Terrace Apartments,LT,1 Bd/3 Person,Apartment,Male,9,0,0,0,0,0,0,0,0,0
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Apartment,Female,20,20,20,20,20,20,9,4,0,0
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Apartment,Male,12,12,12,12,12,12,12,12,12,12
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Apartment,Female,15,15,15,15,15,15,3,4,0,0
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Apartment,Male,9,9,9,9,9,9,9,9,9,6
Levering Terrace Apartments,LT,2 Bd/8 Person,Apartment,Female,120,120,120,120,120,120,120,117,103,81
Levering Terrace Apartments,LT,2 Bd/8 Person,Apartment,Gender Inclusive,8,8,8,0,0,0,0,0,0,0
Levering Terrace Apartments,LT,2 Bd/8 Person,Apartment,Male,64,64,64,64,64,64,59,59,59,55
Palo Verde,PV,2 Bd/4 Person,Apartment,Female,8,8,6,6,3,1,0,0,0,0
Palo Verde,PV,2 Bd/4 Person,Apartment,Male,4,4,4,0,0,0,0,0,0,0
Palo Verde,PV,4 Bd/10 Person-Double,Apartment,Female,96,96,96,96,96,96,87,85,75,63
Palo Verde,PV,4 Bd/10 Person-Double,Apartment,Gender Inclusive,12,12,12,8,1,0,0,0,0,0
Palo Verde,PV,4 Bd/10 Person-Double,Apartment,Male,56,56,56,56,56,56,52,55,49,42
Palo Verde,PV,4 Bd/10 Person-Triple,Apartment,Female,144,144,144,144,144,144,142,142,140,140
Palo Verde,PV,4 Bd/10 Person-Triple,Apartment,Gender Inclusive,18,18,18,18,18,1,1,1,1,1
Palo Verde,PV,4 Bd/10 Person-Triple,Apartment,Male,84,84,84,84,84,84,80,82,76,71
Tipuana,TN,2 Bd/4 Person,Apartment,Female,60,56,50,22,4,1,0,0,0,0
Tipuana,TN,2 Bd/4 Person,Apartment,Gender Inclusive,4,4,0,0,0,0,0,0,0,0
Tipuana,TN,2 Bd/4 Person,Apartment,Male,32,28,31,24,16,3,1,0,0,0
Tipuana,TN,4 Bd/10 Person-Double,Apartment,Female,196,196,196,196,192,186,168,166,122,79
Tipuana,TN,4 Bd/10 Person-Double,Apartment,Gender Inclusive,16,16,16,8,0,0,0,0,0,0
Tipuana,TN,4 Bd/10 Person-Double,Apartment,Male,120,120,120,120,120,120,119,118,112,95
Tipuana,TN,4 Bd/10 Person-Triple,Apartment,Female,294,294,294,294,294,294,291,291,285,278
Tipuana,TN,4 Bd/10 Person-Triple,Apartment,Gender Inclusive,24,24,24,22,8,2,2,0,0,0
Tipuana,TN,4 Bd/10 Person-Triple,Apartment,Male,180,180,180,180,180,180,180,180,178,178
Westwood Chateau Apartments,WC,1 Bd/3 Person,Apartment,Female,36,33,33,31,22,0,0,0,0,0
Westwood Chateau Apartments,WC,1 Bd/3 Person,Apartment,Male,18,18,18,18,12,3,0,0,0,0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Apartment,Female,112,108,96,74,11,0,0,0,0,0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Apartment,Gender Inclusive,8,1,1,1,1,1,1,0,0,0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Apartment,Male,72,72,65,51,40,18,7,5,0,0
Westwood Palms Apartments,WP,1 Bd/3 Person,Apartment,Female,3,3,3,3,0,0,0,0,0,0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Apartment,Female,20,17,15,15,9,0,0,0,0,0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Apartment,Gender Inclusive,2,0,0,0,0,0,0,0,0,0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Apartment,Male,14,14,14,14,14,11,5,1,0,0
Westwood Palms Apartments,WP,2 Bd/4 Person,Apartment,Female,28,28,26,7,0,0,0,0,0,0
Westwood Palms Apartments,WP,2 Bd/4 Person,Apartment,Gender Inclusive,4,0,0,0,0,0,0,0,0,0
Westwood Palms Apartments,WP,2 Bd/4 Person,Apartment,Male,16,15,12,4,3,3,3,1,0,0
De Neve Plaza,DEN,Plaza Triple/Private Bath,Dorm,Female,750,736,725,725,723,714,706,706,696,678
De Neve Plaza,DEN,Plaza Triple/Private Bath,Dorm,Gender Inclusive,33,33,30,30,30,30,30,30,30,30
De Neve Plaza,DEN,Plaza Triple/Private Bath,Dorm,Male,462,457,447,439,436,436,428,424,421,416
De Neve Residence Hall,DN,Deluxe Triple,Dorm,Female,273,271,268,264,264,257,256,254,252,251
De Neve Residence Hall,DN,Deluxe Triple,Dorm,Gender Inclusive,33,33,33,33,33,27,27,27,27,27
De Neve Residence Hall,DN,Deluxe Triple,Dorm,Male,126,126,126,126,126,126,124,122,122,122
Dykstra Hall,DYK,Classic Triple,Dorm,Female,468,468,468,468,463,461,459,456,455,454
Dykstra Hall,DYK,Classic Triple,Dorm,Gender Inclusive,36,36,36,36,36,36,36,36,36,36
Dykstra Hall,DYK,Classic Triple,Dorm,Male,261,260,260,260,260,260,260,260,260,260
Hedrick Hall,HED,Classic Triple,Dorm,Female,588,588,580,580,580,580,580,580,580,580
Hedrick Hall,HED,Classic Triple,Dorm,Gender Inclusive,48,48,48,48,48,48,48,48,48,48
Hedrick Hall,HED,Classic Triple,Dorm,Male,366,366,366,366,366,366,366,366,366,366
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Dorm,Female,414,411,411,411,410,410,410,409,409,408
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Dorm,Gender Inclusive,30,30,30,30,30,30,30,30,30,30
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Dorm,Male,252,252,252,251,251,251,251,251,251,251
Hitch Suites,HIT,Suite Triple/Shared Bath,Dorm,Female,264,264,264,264,263,261,263,263,263,261
Hitch Suites,HIT,Suite Triple/Shared Bath,Dorm,Gender Inclusive,18,18,18,18,18,18,18,18,18,14
Hitch Suites,HIT,Suite Triple/Shared Bath,Dorm,Male,168,168,168,168,168,168,168,167,167,167
Olympic / Centennial,OC,Deluxe Triple,Dorm,Female,999,993,980,967,961,942,932,923,907,899
Olympic / Centennial,OC,Deluxe Triple,Dorm,Gender Inclusive,81,81,80,71,68,66,66,66,66,63
Olympic / Centennial,OC,Deluxe Triple,Dorm,Male,594,582,571,549,544,538,528,514,506,503
Rieber Hall,RIE,Classic Triple,Dorm,Female,567,564,564,559,559,556,556,556,554,554
Rieber Hall,RIE,Classic Triple,Dorm,Gender Inclusive,48,48,48,48,48,48,48,48,48,48
Rieber Hall,RIE,Classic Triple,Dorm,Male,381,381,381,380,380,380,380,377,377,377
Rieber Terrace,RT,Plaza Triple/Private Bath,Dorm,Female,21,15,15,12,12,12,8,8,3,3
Rieber Terrace,RT,Plaza Triple/Private Bath,Dorm,Male,15,13,13,7,7,7,7,6,6,5
Rieber Terrace,RT,Plaza Triple/Shared Bath,Dorm,Female,438,434,432,429,429,420,420,418,418,418
Rieber Terrace,RT,Plaza Triple/Shared Bath,Dorm,Gender Inclusive,36,36,36,36,36,36,36,36,36,36
Rieber Terrace,RT,Plaza Triple/Shared Bath,Dorm,Male,270,267,267,265,265,262,262,262,261,261
Rieber Vista,RV,Plaza Triple/Private Bath,Dorm,Female,3,0,0,0,0,0,0,0,0,0
Rieber Vista,RV,Plaza Triple/Private Bath,Dorm,Male,3,3,0,0,0,0,0,0,0,0
Rieber Vista,RV,Plaza Triple/Shared Bath,Dorm,Female,408,408,397,390,384,384,383,383,380,380
Rieber Vista,RV,Plaza Triple/Shared Bath,Dorm,Gender Inclusive,30,30,30,30,30,30,30,30,30,30
Rieber Vista,RV,Plaza Triple/Shared Bath,Dorm,Male,252,252,252,252,252,250,250,250,250,250
Saxon Suites,SAX,Suite Triple/Shared Bath,Dorm,Female,258,249,241,238,238,231,232,231,221,215
Saxon Suites,SAX,Suite Triple/Shared Bath,Dorm,Gender Inclusive,18,18,18,18,16,14,6,6,0,0
Saxon Suites,SAX,Suite Triple/Shared Bath,Dorm,Male,150,138,119,113,107,107,107,100,88,80
Sproul Hall,SPR,Classic Triple,Dorm,Female,579,571,563,554,540,540,535,532,530,529
Sproul Hall,SPR,Classic Triple,Dorm,Gender Inclusive,51,51,51,51,48,41,41,41,38,38
Sproul Hall,SPR,Classic Triple,Dorm,Male,369,360,359,356,353,353,351,351,349,349
Sproul Landing / Cove,SLC,Deluxe Triple,Dorm,Female,597,569,547,510,492,485,475,472,457,432
Sproul Landing / Cove,SLC,Deluxe Triple,Dorm,Gender Inclusive,45,40,37,37,37,28,19,16,16,13
Sproul Landing / Cove,SLC,Deluxe Triple,Dorm,Male,363,348,331,314,282,277,266,265,256,249
Sunset Village,SV,Plaza Triple/Private Bath,Dorm,Female,507,504,501,492,489,476,464,461,454,449
Sunset Village,SV,Plaza Triple/Private Bath,Dorm,Gender Inclusive,39,39,39,39,39,39,39,39,30,30
Sunset Village,SV,Plaza Triple/Private Bath,Dorm,Male,309,306,302,294,294,285,284,284,282,266
Sunset Village,SV,Plaza Triple/Shared Bath,Dorm,Female,456,456,456,456,444,442,442,442,437,429
Sunset Village,SV,Plaza Triple/Shared Bath,Dorm,Gender Inclusive,36,36,36,36,36,36,36,36,36,30
Sunset Village,SV,Plaza Triple/Shared Bath,Dorm,Male,282,282,282,282,282,279,278,278,278,277
